60	5	6-6-4-3-5-5-5-4-5-5-5-5	2-4-3-6-5-4-1-4-3-7-1-6	4-6-3-3-6-3-4-5-6-6-6-6	6-2-6-6-6-6-3-3-3-6-6-6	6-6-6-3-0-6-4-0-6-4-0-6	0-4-4-6-6-2-6-6-0-6-5-0	6-0-6-6-0-4-0-6-2-5-3-7	0-0-5-0-6-2-3-4-6-6-0-4	6-0-0-0-0-4-5-4-6-0-0-3	0-4-5-1-6-6-3-4-4-6-3-7	4-5-6-3-3-3-3-3-4-2-7-3	0-4-3-0-4-5-3-5-6-1-3-3
60	6	5-6-6-3-5-6-6-3-6-6-6-7	2-7-7-5-5-6-6-6-7-5-6-5	4-3-6-4-5-6-7-4-5-5-5-5	5-6-5-5-5-5-3-3-3-5-5-5	5-5-5-7-0-5-4-0-5-6-0-6	0-4-5-5-5-6-5-5-6-5-6-6	5-7-5-5-0-6-0-7-4-6-3-5	0-2-7-4-5-4-3-4-6-5-0-4	4-0-5-1-2-6-4-4-5-1-4-3	0-2-5-1-5-5-4-4-4-5-2-4	5-6-7-3-4-6-6-3-4-4-4-6	0-6-3-6-4-2-2-3-5-0-3-4
60	7	7-7-7-7-7-6-7-7-7-7-6-7	2-6-6-7-7-7-6-4-7-5-6-5	6-6-7-4-7-4-6-7-7-7-5-7	7-6-7-6-7-7-7-7-7-7-7-7	7-7-6-6-7-7-4-7-7-6-7-7	7-7-4-7-3-7-4-7-7-7-7-7	7-6-6-7-0-6-7-6-0-7-7-5	7-7-6-7-7-7-7-7-7-7-0-0	7-7-7-7-7-7-7-2-7-0-4-7	7-3-7-7-7-7-7-4-0-5-2-7	7-6-6-7-7-4-7-6-4-7-5-6	7-6-6-6-7-7-3-3-2-0-3-7
61	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
61	1	1-1-0-0-1-2-2-1-1-1-2-1	1-2-2-0-2-0-0-0-2-2-0-2	2-4-3-0-0-3-2-0-2-0-3-2	0-2-2-2-2-2-1-1-0-2-2-3	3-2-2-2-0-1-0-2-3-2-1-2	0-0-2-3-2-0-2-2-0-0-0-0	2-0-2-0-0-0-0-0-2-0-0-0	2-0-0-0-0-0-0-0-0-0-0-2	2-0-0-0-0-1-2-0-3-0-4-2	0-4-1-3-2-3-1-0-2-2-1-0	2-1-0-4-4-4-2-0-4-4-0-4	0-0-0-2-0-4-4-0-0-0-1-4
61	2	2-2-2-2-2-1-1-1-2-1-1-2	1-1-1-0-1-3-2-2-1-3-2-1	1-1-1-0-0-1-3-1-3-3-1-1	0-1-1-3-1-1-2-1-0-1-1-1	1-1-3-1-0-1-3-1-1-1-1-1	0-3-1-1-1-0-1-1-0-0-2-5	3-0-1-4-0-0-0-0-3-0-0-1	1-0-0-0-0-0-0-3-0-1-0-4	1-0-1-1-0-7-1-3-1-3-0-1	5-0-3-1-1-1-0-0-1-1-1-1	1-2-1-1-2-0-1-0-0-1-0-2	0-5-5-3-0-3-1-3-2-0-1-1
61	3	1-3-2-2-3-4-3-3-2-1-3-3	1-4-4-4-4-4-2-2-4-4-1-1	4-1-4-5-1-5-2-1-2-2-1-1	1-5-1-4-0-1-5-6-3-1-2-1	1-0-2-1-0-1-2-3-1-5-6-1	0-2-0-1-4-0-2-4-0-6-0-0	2-2-1-0-0-0-0-4-2-0-4-1	1-0-0-5-0-0-5-2-0-4-0-7	2-0-1-0-0-2-1-2-1-2-1-4	0-1-2-1-1-1-0-0-0-4-4-0	1-2-5-1-1-0-1-0-0-1-4-3	3-2-4-2-4-2-5-2-4-0-3-3
61	4	5-1-2-5-4-3-4-5-5-5-5-5	1-5-5-5-3-3-2-2-5-5-5-5	3-5-6-3-5-4-5-6-5-5-5-5	5-3-5-5-5-5-3-5-5-4-5-5	5-4-5-5-0-5-3-4-7-3-3-4	0-2-0-4-3-0-1-3-6-0-4-0	5-2-5-6-0-7-0-5-2-4-5-5	5-3-5-0-1-5-5-5-5-4-0-2	5-6-5-0-3-0-7-0-4-0-1-6	0-1-5-5-0-5-6-0-5-3-3-7	5-4-3-1-1-1-5-7-1-1-4-1	3-0-3-4-5-1-3-5-3-5-3-1
61	5	4-6-5-4-4-5-5-4-4-4-4-4	1-4-4-4-4-5-2-2-4-4-4-4	6-4-6-6-4-7-4-5-4-4-4-4	4-3-4-4-4-4-3-4-4-5-4-4	4-5-6-4-5-4-5-5-5-3-4-5	0-3-0-5-6-5-5-4-5-5-5-2	4-0-4-5-0-5-1-4-0-5-4-4	4-1-4-3-1-5-3-4-4-4-5-4	4-0-4-0-0-0-4-6-4-5-4-4	2-4-4-4-5-4-5-0-5-5-3-6	4-4-3-1-1-5-4-0-1-1-4-3	3-2-3-6-4-4-3-4-2-4-3-5
61	6	7-6-7-7-7-7-7-6-7-7-7-7	7-7-7-7-7-7-7-2-7-6-7-7	7-6-7-5-6-7-6-6-6-6-6-7	4-7-6-5-4-5-3-3-6-6-4-7	6-7-5-4-7-4-7-6-6-7-3-4	6-4-7-5-7-6-6-7-5-3-5-6	7-0-7-5-6-0-0-7-6-6-4-7	4-4-0-5-6-6-7-2-4-7-6-1	5-4-4-0-0-6-6-7-6-5-1-4	0-7-4-4-6-4-6-0-5-5-3-7	4-6-7-6-1-7-6-7-1-6-4-7	6-2-5-5-5-6-7-3-6-4-6-6
61	7	6-6-6-6-7-6-6-7-6-6-6-6	6-6-6-6-6-6-6-2-6-6-6-6	6-4-6-5-7-6-7-7-7-7-6-6	6-6-7-7-4-7-7-7-7-7-7-6	7-7-5-5-6-4-6-7-7-6-7-7	7-7-6-7-6-7-6-6-4-7-5-7	6-0-6-6-0-4-0-6-0-7-6-6	7-7-0-7-0-7-7-7-7-7-6-3	7-7-7-7-7-7-4-6-7-0-7-7	7-4-7-7-7-7-7-6-0-6-3-7	7-6-6-1-0-6-7-4-7-7-7-3	7-7-3-7-0-6-4-4-2-0-7-7
62	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
62	1	1-1-1-0-1-1-1-1-1-1-1-1	1-1-0-0-0-0-1-0-0-0-1-1	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-2-0-0-1-0-0-1	1-0-2-0-0-0-0-0-3-0-0-2	0-0-0-2-0-0-0-0-0-0-1-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-1-0-0-2-0-0-0	0-0-2-4-2-0-0-0-0-1-0-0	0-1-2-1-4-1-0-0-1-1-0-0	1-2-1-2-0-1-2-1-1-0-1-1
62	2	2-3-3-3-3-3-3-3-3-3-2-2	2-3-3-3-3-3-1-0-3-2-1-3	3-2-3-0-0-2-2-3-2-2-1-3	3-3-3-3-0-3-4-2-2-0-2-0	1-3-1-1-0-2-3-0-1-3-2-1	2-3-3-1-3-0-2-3-0-0-0-0	0-0-2-0-2-0-0-3-3-0-0-3	0-0-0-0-3-0-0-0-3-4-0-4	3-0-0-0-3-0-2-3-1-2-3-1	0-3-1-3-1-0-0-0-0-1-3-3	3-4-3-3-3-3-2-6-1-3-3-3	6-1-2-1-0-2-3-3-2-0-4-3
62	3	2-2-2-2-2-2-2-2-2-2-2-3	2-2-2-2-4-2-1-4-2-4-1-2	2-4-2-0-4-2-4-2-4-4-4-4	4-2-4-4-4-4-2-4-4-4-3-4	4-2-4-4-0-4-2-3-1-2-4-4	4-2-2-3-2-2-2-2-3-3-3-4	4-0-3-0-0-3-0-2-2-3-4-2	4-0-0-0-4-0-0-0-4-0-3-0	2-0-3-4-2-0-7-2-3-2-2-4	0-2-4-2-0-4-0-0-0-0-2-2	4-3-2-2-2-2-3-4-0-2-2-2	2-0-2-7-3-2-2-2-3-4-4-2
62	4	2-2-4-2-2-2-2-2-2-2-3-4	3-3-3-3-3-2-1-4-2-3-1-3	4-3-3-3-3-2-4-2-3-3-3-3	3-2-3-3-3-3-2-2-3-3-5-3	3-4-5-3-4-3-2-4-1-6-3-4	3-2-4-4-2-4-7-3-4-4-4-3	0-0-0-4-0-3-0-3-0-3-3-2	3-6-6-4-3-4-4-4-3-2-0-2	0-4-3-3-0-7-6-6-4-4-6-3	0-3-3-1-6-3-4-0-4-4-2-3	3-3-4-3-1-7-3-3-0-2-3-2	4-0-1-3-0-0-4-3-4-3-2-2
62	5	6-5-6-6-6-6-6-5-6-6-6-6	6-6-6-6-6-6-6-6-6-6-6-6	6-5-6-6-6-6-6-5-5-5-5-6	6-7-5-6-6-6-5-6-5-5-6-5	5-6-6-6-6-6-6-6-6-5-5-5	5-6-5-6-6-5-6-6-6-6-6-6	6-0-5-6-5-6-0-7-6-5-6-6	6-5-0-4-6-6-5-4-7-7-7-6	6-6-3-7-0-6-6-6-6-6-7-6	5-7-6-6-6-5-5-6-5-7-7-6	5-5-5-5-6-5-5-5-6-7-6-5	7-7-5-6-4-7-7-6-6-3-5-7
62	6	5-6-5-5-5-5-5-6-5-5-5-5	7-7-5-5-5-5-5-5-5-5-5-5	7-6-5-5-5-5-5-5-6-6-7-5	5-5-6-5-6-5-5-5-6-6-5-6	5-5-5-5-4-5-5-5-5-5-5-6	5-5-7-5-5-5-5-5-5-5-5-5	5-5-6-5-6-5-0-5-5-6-7-5	5-4-4-4-5-5-5-4-6-7-7-5	5-5-6-0-0-5-5-5-6-5-5-5	5-7-5-5-5-6-6-5-4-5-2-5	5-5-7-5-5-6-7-5-5-5-5-5	2-1-5-5-0-2-2-5-5-6-5-2
62	7	5-5-5-5-7-5-5-6-5-5-6-6	6-6-5-5-5-5-5-5-5-5-5-6	6-5-6-5-7-5-7-6-7-7-6-7	6-5-7-7-5-7-5-5-6-7-7-5	7-6-6-6-7-5-5-7-7-5-7-7	7-5-6-6-6-7-4-5-5-7-7-7	5-0-0-5-5-5-7-5-5-7-6-5	7-7-0-7-5-7-7-7-7-7-6-6	7-0-7-5-7-7-3-6-6-0-5-7	7-5-7-7-5-7-7-5-0-5-5-7	7-5-6-7-5-5-6-5-5-5-5-5	7-7-5-3-3-5-6-5-5-0-7-7
63	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
63	1	1-1-1-0-1-1-1-1-1-1-1-1	1-1-0-0-0-0-1-0-0-0-2-1	0-0-0-0-0-0-0-0-2-2-3-2	0-0-2-2-0-2-0-0-1-0-0-1	2-0-2-2-0-0-0-0-2-0-0-2	0-0-0-2-0-0-0-0-0-0-1-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-1-0-0-2-0-0-0	0-0-2-4-2-0-0-0-0-1-0-0	0-1-0-1-2-1-0-0-1-1-0-0	1-2-4-2-0-1-4-4-1-0-1-1
63	2	1-2-1-0-1-1-3-1-1-1-2-2	2-3-2-0-2-3-1-0-0-1-1-1	1-2-3-0-0-0-1-3-1-1-1-3	3-3-3-3-0-1-2-2-6-0-0-0	1-3-3-1-0-2-5-0-1-3-4-1	0-4-3-1-3-0-1-5-0-0-1-0	3-0-1-0-0-0-0-0-2-3-0-0	0-3-0-3-3-0-3-0-2-3-0-5	0-0-0-3-3-1-2-0-1-2-3-0	0-7-1-7-1-2-2-7-0-1-7-3	0-1-0-7-7-3-0-3-3-7-7-5	3-1-3-1-0-7-3-3-1-0-1-5
63	3	3-2-3-3-3-5-3-4-3-3-4-3	4-2-4-4-4-2-1-0-4-4-1-4	4-5-4-0-4-6-4-2-4-4-4-5	5-2-4-4-5-4-5-0-4-3-5-3	5-2-4-5-0-2-2-0-1-2-4-5	0-2-2-4-2-5-3-4-0-0-3-4	4-0-5-1-0-4-0-0-2-2-5-0	0-2-5-2-2-3-5-0-6-5-0-4	0-0-0-2-2-0-0-0-3-0-2-4	5-2-4-2-0-3-3-0-0-4-5-4	4-1-5-5-2-2-5-5-2-2-2-2	2-1-2-4-0-2-2-3-3-0-4-2
63	4	3-4-4-3-4-4-4-3-3-3-3-4	3-5-3-3-3-4-1-4-3-5-1-3	5-3-6-0-3-3-5-5-5-3-3-3	3-6-3-3-3-3-3-2-3-3-6-8	4-4-5-3-4-2-7-0-7-4-3-3	4-2-5-5-5-4-5-3-4-4-4-3	3-0-3-5-0-3-0-0-5-4-3-2	2-7-7-5-6-3-0-7-5-3-0-7	7-0-0-0-0-4-0-7-3-5-8-3	0-0-3-1-7-3-4-7-7-3-3-3	3-1-5-3-1-8-3-3-5-4-0-2	0-0-1-3-7-0-1-1-4-0-3-3
63	5	5-5-3-3-5-5-5-3-5-5-5-6	3-4-3-6-6-4-5-4-3-6-5-5	4-3-5-0-6-5-4-5-6-6-3-3	3-5-5-6-3-6-3-0-3-3-3-3	3-3-6-3-0-2-4-0-5-5-3-3	0-2-4-4-4-5-4-3-0-4-5-3	6-6-3-4-0-7-0-6-4-4-3-0	0-0-3-7-5-3-3-0-5-3-0-2	4-0-6-3-0-8-7-6-4-6-2-3	3-3-6-0-7-3-0-0-4-8-3-3	3-1-3-3-2-5-3-3-4-2-0-2	6-8-6-6-4-2-2-3-4-7-3-2
63	6	6-6-4-3-6-7-8-6-7-6-6-5	7-7-7-7-7-4-5-4-3-7-5-7	4-7-8-3-7-3-4-8-7-5-7-7	7-4-7-7-7-5-7-8-3-7-6-7	7-7-5-3-4-7-4-7-5-4-7-7	6-5-4-7-8-6-7-7-7-5-5-5	7-5-7-5-0-5-0-5-7-6-3-8	0-0-0-5-4-6-5-0-3-7-7-0	4-0-5-0-6-5-8-5-7-5-6-3	0-8-5-1-6-6-8-0-4-8-6-6	7-6-8-6-2-4-6-7-0-2-1-8	5-1-7-5-5-2-6-6-6-0-6-3
63	7	6-5-7-3-5-7-7-6-7-7-7-8	6-6-8-6-6-7-7-7-8-6-8-6	8-6-7-6-7-7-8-7-6-7-6-6	6-4-6-6-6-7-3-0-3-6-6-6	6-6-8-8-4-6-4-6-4-4-6-6	0-2-6-6-2-7-6-6-6-4-7-7	6-5-6-5-0-5-0-7-6-0-3-0	0-7-4-5-4-6-3-4-7-6-6-8	4-0-4-2-2-5-5-8-6-2-2-3	0-2-6-2-6-6-0-2-4-7-2-4	6-7-8-2-2-2-7-6-2-2-2-8	2-1-6-8-4-2-6-7-6-5-8-2
63	8	8-8-8-6-8-6-8-8-8-8-7-8	6-7-7-6-7-8-7-7-8-6-7-5	7-7-6-6-8-6-7-8-8-8-6-8	8-8-8-7-6-8-8-8-8-8-8-8	8-8-7-7-8-8-6-8-8-8-6-8	8-8-4-8-6-8-4-8-8-8-8-8	6-0-7-8-0-5-0-5-5-8-3-6	0-8-0-8-0-8-8-8-8-8-6-7	8-0-8-0-8-5-8-7-7-0-8-8	8-6-5-8-8-8-8-4-0-5-6-8	8-6-7-8-8-4-8-7-4-8-8-7	8-5-6-7-0-8-6-7-5-0-8-8
64	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
64	1	1-1-0-0-1-2-1-1-1-2-1-1	1-2-1-2-2-2-0-3-1-2-2-2	0-4-2-0-0-3-2-2-2-0-1-2	0-1-2-2-0-2-3-2-1-2-1-1	2-1-2-2-0-1-0-0-2-1-1-2	2-0-1-2-1-0-3-2-2-0-0-0	2-0-0-0-1-0-0-0-1-2-0-2	0-0-0-0-0-0-0-0-0-0-0-2	2-0-0-2-0-1-2-0-2-0-2-0	0-0-2-2-0-0-2-2-0-2-0-0	0-1-0-2-2-1-2-0-0-0-0-0	2-0-0-0-0-0-0-2-1-0-1-2
64	2	1-1-1-2-1-1-1-1-2-1-1-1	1-1-1-1-1-1-1-0-1-1-1-1	3-2-1-0-0-1-1-1-1-0-0-1	1-3-1-3-0-1-4-1-2-1-1-1	1-0-1-1-0-2-3-0-1-3-4-1	1-4-3-1-3-0-2-1-1-0-0-0	3-0-0-0-0-0-0-6-2-1-0-3	0-0-1-0-0-0-3-0-0-2-0-1	1-2-0-1-3-1-2-0-1-1-3-0	0-5-1-3-1-0-1-3-0-1-3-3	0-2-3-3-1-1-1-5-3-3-5-3	1-5-3-0-0-3-3-3-5-0-2-3
64	3	3-4-3-3-3-3-1-4-4-3-4-3	2-2-4-4-4-1-1-1-1-4-3-2	2-6-5-0-4-4-3-5-3-4-4-4	4-2-4-4-4-4-4-5-4-3-4-1	3-3-4-4-0-4-2-1-0-2-4-4	0-1-2-4-2-3-1-4-3-0-0-0	4-0-4-0-0-4-0-0-2-3-4-6	0-0-0-0-0-4-2-0-3-4-0-2	1-0-0-0-2-0-4-0-3-3-2-4	0-2-4-2-0-4-1-2-0-2-2-4	4-3-2-4-4-3-3-2-2-2-2-2	0-0-3-4-0-2-4-2-3-0-4-2
64	4	4-4-4-3-3-4-4-3-4-3-3-4	2-3-3-3-3-4-4-5-3-5-3-3	5-1-3-0-3-3-4-0-3-3-3-3	3-5-3-3-3-3-5-1-3-3-5-0	3-4-3-3-4-3-6-0-5-5-3-3	4-2-5-4-2-3-6-3-3-4-4-3	3-0-3-5-0-3-0-3-0-4-3-3	0-0-0-5-5-3-3-3-4-3-0-2	5-0-4-0-2-4-5-5-3-5-6-3	0-0-3-1-5-3-4-6-4-5-3-3	3-3-3-3-3-1-3-0-6-4-0-3	1-0-5-5-5-0-3-1-4-0-3-4
64	5	6-5-6-6-6-6-6-6-6-6-6-6	6-6-6-6-6-6-6-4-6-6-6-6	6-5-6-6-4-6-5-5-5-5-6-6	6-4-5-6-5-4-4-3-5-3-5-5	5-5-4-3-0-3-5-5-4-4-6-5	5-4-4-4-5-5-5-6-5-4-4-0	6-0-6-4-5-5-0-6-5-5-3-0	0-0-0-4-4-3-3-0-6-6-5-6	4-3-5-6-2-4-6-4-5-4-2-3	0-6-3-2-5-5-5-2-5-6-2-5	4-6-5-2-2-5-5-2-2-2-2-2	6-2-4-4-4-2-2-6-5-0-6-6
64	6	5-5-5-5-6-5-5-5-5-5-5-5	5-5-5-5-5-5-5-4-5-5-5-5	5-6-5-5-6-5-6-6-6-6-5-5	5-6-6-6-0-6-6-6-6-6-6-5	6-6-5-0-6-6-4-6-6-5-6-6	6-6-4-6-5-6-4-5-0-6-6-6	3-0-5-5-0-4-0-2-0-6-3-3	6-6-0-6-0-6-6-6-6-6-3-5	6-0-6-5-6-6-6-4-6-0-6-6	6-5-6-6-6-6-6-4-0-5-5-6	6-5-5-6-1-5-6-2-4-6-6-5	6-6-0-6-0-2-3-5-1-0-6-6
65	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
65	1	2-1-3-1-1-2-1-1-1-2-1-1	1-2-1-0-2-2-3-2-2-1-0-2	2-1-2-0-0-2-1-1-2-2-1-2	0-1-2-2-0-2-1-1-1-3-1-1	2-1-2-0-1-1-0-0-1-2-1-2	1-2-1-2-2-1-1-2-0-2-0-2	2-0-1-0-1-0-0-0-0-2-2-3	0-0-2-0-1-0-1-1-0-4-0-1	0-1-0-0-0-1-2-1-0-0-2-0	0-2-0-3-4-1-1-0-1-2-3-0	0-1-0-6-2-1-0-0-0-3-1-3	2-1-2-0-0-0-0-2-1-0-2-0
65	2	1-1-1-1-1-1-1-1-1-1-1-1	1-3-1-3-1-1-1-1-1-1-0-3	3-1-1-1-0-1-1-3-1-1-1-3	1-3-1-3-7-1-3-1-1-0-1-1	1-3-1-1-0-2-3-0-0-3-1-1	0-1-3-1-1-0-1-1-0-1-0-1	1-0-1-0-0-0-0-0-3-1-1-4	0-0-1-3-0-1-0-1-0-2-0-2	1-2-0-0-6-1-1-3-0-2-3-0	0-3-0-6-0-0-1-3-0-1-6-3	0-0-0-0-3-3-0-0-3-6-6-6	1-0-1-0-0-6-6-6-1-0-1-3
65	3	1-1-1-1-1-1-1-1-1-1-4-3	4-2-1-2-4-1-1-2-0-4-4-2	4-4-4-4-4-6-3-2-4-4-4-4	0-2-4-4-4-4-2-6-6-4-0-0	3-3-4-4-0-4-2-0-4-2-1-4	0-1-2-3-1-0-0-4-0-1-3-4	4-0-4-0-0-0-4-4-2-3-4-1	0-3-4-2-0-4-4-4-3-4-0-4	0-0-4-4-2-0-4-2-4-0-4-4	0-4-4-4-3-4-3-2-0-3-1-2	4-3-0-4-2-3-4-4-2-1-2-4	1-0-3-3-3-2-4-2-3-0-3-2
65	4	1-3-4-1-1-1-1-1-4-1-3-4	3-3-1-3-3-1-1-4-1-3-3-3	5-3-3-3-3-1-6-1-3-5-3-3	5-6-3-3-3-3-2-3-3-3-5-7	3-4-3-3-4-3-4-0-3-6-0-3	4-1-4-4-6-4-7-3-4-4-4-3	3-0-3-4-0-6-3-3-0-0-3-2	0-7-3-6-5-3-3-3-3-2-0-3	6-0-3-3-2-4-3-6-3-5-3-3	6-3-3-3-1-3-1-7-4-4-3-3	3-0-0-3-2-4-3-0-0-1-0-3	1-5-1-5-6-2-3-3-4-0-3-2
65	5	6-7-6-6-6-6-6-7-6-6-6-6	6-6-6-6-6-6-6-6-6-5-6-5	6-5-6-7-4-7-5-5-5-5-5-6	7-5-5-6-5-6-5-6-5-5-6-5	6-5-6-3-5-5-5-5-5-5-6-5	5-7-5-6-5-5-5-6-6-6-5-6	6-6-5-7-5-6-0-7-6-5-7-6	6-0-6-7-5-5-6-6-6-5-7-6	6-5-6-7-5-5-5-7-5-6-6-5	6-5-6-1-6-6-5-7-5-7-7-6	6-5-6-5-7-5-5-7-7-7-7-7	5-7-5-4-4-5-3-7-5-0-6-6
65	6	5-5-5-5-5-5-5-5-5-5-5-5	5-7-5-5-5-5-5-5-5-5-5-5	5-5-5-5-5-5-5-5-5-6-7-7	5-5-5-5-5-5-5-5-3-6-5-6	6-6-5-6-4-5-7-5-5-5-5-5	7-5-5-5-5-6-5-5-5-4-4-5	5-5-5-0-7-5-0-7-5-5-5-5	5-1-5-4-5-0-5-4-5-2-0-5	5-6-5-7-2-5-4-4-6-5-5-3	5-1-5-2-5-5-5-2-4-4-5-5	5-7-7-5-2-5-6-7-2-5-2-5	5-5-5-7-4-2-2-2-6-0-5-2
65	7	5-5-5-5-5-5-5-5-5-5-5-5	5-6-5-5-5-5-5-5-5-5-5-5	7-7-5-5-7-5-7-5-7-7-6-6	5-5-7-7-2-7-5-5-7-7-7-5	7-7-6-6-7-4-6-7-7-5-7-7	7-5-5-6-5-7-4-6-7-7-7-7	6-0-0-5-5-6-7-5-0-7-5-6	7-7-6-7-7-7-7-7-7-7-5-3	7-7-7-5-7-7-3-5-6-5-4-7	7-2-7-7-7-7-7-5-0-5-5-7	7-6-6-5-5-5-3-6-5-5-5-5	7-5-5-6-4-2-3-5-5-0-7-7
66	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
66	1	2-1-2-3-1-2-2-1-1-2-1-1	2-2-2-0-2-4-1-0-2-2-0-2	2-1-3-0-0-3-1-3-2-1-1-2	0-1-2-2-2-2-2-1-4-1-1-1	3-2-2-2-1-5-0-0-1-2-1-2	1-1-2-3-2-1-1-2-0-3-0-1	2-0-2-0-1-0-0-0-0-1-2-2	0-0-0-2-1-0-2-1-0-2-0-2	4-1-0-0-0-1-1-1-0-2-2-0	0-4-0-5-6-1-1-0-1-2-2-2	0-1-0-1-9-1-0-0-0-9-1-0	0-1-1-0-0-2-2-1-1-0-1-7
66	2	1-1-1-1-1-1-1-1-1-1-1-2	1-1-1-0-1-1-2-2-1-3-1-1	1-1-1-1-0-1-3-1-3-3-0-1	0-1-1-3-1-1-1-1-1-0-3-1	2-1-3-1-0-0-3-0-0-1-1-1	1-3-1-1-1-2-3-1-0-1-2-1	1-3-1-0-1-7-0-4-3-2-1-1	0-0-0-1-0-0-1-3-1-1-0-1	3-0-0-0-1-4-0-3-0-3-1-0	0-0-3-1-0-0-5-1-1-1-1-1	0-3-3-1-1-1-0-5-0-1-2-2	2-2-3-0-10-3-1-3-2-0-0-1
66	3	1-1-2-1-1-1-1-1-1-1-1-4	1-1-5-4-1-1-2-2-1-4-1-1	4-1-1-1-1-1-2-1-2-2-4-1	0-6-1-4-3-1-6-8-1-0-2-0	1-3-2-1-6-1-2-0-0-4-8-1	0-2-0-1-2-3-2-1-0-1-0-0	4-2-2-0-0-2-0-3-2-1-5-1	0-0-0-4-2-6-1-2-0-1-0-1	2-0-0-0-7-2-1-5-3-2-0-4	0-1-2-1-5-3-1-0-0-3-1-5	0-2-4-6-1-3-0-5-0-0-5-0	3-2-2-3-3-2-3-2-1-0-3-3
